model,feature_set,param,best_value,best_median_MAE,worst_value,worst_median_MAE,max_median_gap
ARIMAX,baseline,p,1,0.1322887831228761,3,0.1586799159600243,0.026391132837148196
ARIMAX,baseline,q,2,0.1437515327856238,3,0.1698096148366809,0.026058082051057085
ARIMAX,baseline,d,0,0.1422564183629881,1,0.1552078161706201,0.012951397807631992
ARIMAX,baseline,trend,c,0.1447966778136192,n,0.1555334292923573,0.010736751478738094
ARIMAX,augmented,trend,n,0.1849373987229857,c,0.2579987790194807,0.073061380296495
ARIMAX,augmented,q,0,0.20547392116140833,3,0.2579987790194807,0.05252485785807237
ARIMAX,augmented,d,1,0.20802773334190933,0,0.24553333271264505,0.03750559937073572
ARIMAX,augmented,p,0,0.2025259955845098,3,0.2352384202793453,0.03271242469483551
SVR,baseline,epsilon,0.01,0.1433770417126321,0.2,0.2284227560475936,0.0850457143349615
SVR,baseline,C,100.0,0.16208249567411825,0.1,0.2452556346348121,0.08317313896069384
SVR,baseline,kernel,linear,0.15085043351156974,poly,0.1884812603606011,0.03763082684903135
SVR,baseline,gamma,nan,0.15085043351156974,0.1,0.18714608476658734,0.0362956512550176
SVR,augmented,C,10.0,0.18342212286271195,0.1,0.28317816621956,0.09975604335684804
SVR,augmented,epsilon,0.01,0.1611732544314367,0.2,0.2430689748689005,0.08189572043746379
SVR,augmented,gamma,nan,0.1624001134858944,1,0.2145374818574212,0.0521373683715268
SVR,augmented,kernel,linear,0.1624001134858944,poly,0.20987556714558794,0.04747545365969355
XGBoost,baseline,reg_alpha,0.0,0.18363315415088843,1.0,0.3252990278231668,0.14166587367227834
XGBoost,baseline,learning_rate,0.1,0.18632230968832325,0.01,0.32425863090272733,0.13793632121440408
XGBoost,baseline,reg_lambda,0.0,0.1982576254567685,10.0,0.2776641651399019,0.07940653968313338
XGBoost,baseline,n_estimators,150,0.2048086799497472,50,0.2757134463494856,0.07090476639973839
XGBoost,baseline,subsample,1.0,0.21509733742400744,0.8,0.23376795528362934,0.018670617859621902
XGBoost,baseline,min_child_weight,1,0.2161440406535831,3,0.2327607964925485,0.01661675583896538
XGBoost,baseline,colsample_bytree,0.8,0.2230422658266201,1.0,0.2275675687725564,0.00452530294593631
XGBoost,augmented,reg_alpha,0.0,0.18351374782436705,1.0,0.32542411636586654,0.1419103685414995
XGBoost,augmented,learning_rate,0.1,0.186613429423787,0.01,0.32248339116897035,0.13586996174518334
XGBoost,augmented,reg_lambda,0.0,0.20010863590651157,10.0,0.2775630500915216,0.07745441418501003
XGBoost,augmented,n_estimators,150,0.2026219657410504,50,0.2739866753790502,0.07136470963799979
XGBoost,augmented,subsample,1.0,0.2160532617462611,0.8,0.23075317942253054,0.014699917676269436
XGBoost,augmented,min_child_weight,1,0.21529582920293444,3,0.2270458215899871,0.011749992387052655
XGBoost,augmented,colsample_bytree,1.0,0.22111999528169257,0.8,0.22164753474314597,0.0005275394614533968
LSTCN,baseline,alpha,0.01,0.11389021365370985,0.0,0.23110083165482048,0.11721061800111063
LSTCN,baseline,n_blocks,5,0.12806252666706885,1,0.16645050034196074,0.038387973674891884
LSTCN,baseline,solver,lsqr,0.1329234415219424,cholesky,0.14268695473811036,0.009763513216167946
LSTCN,augmented,alpha,0.1,0.1393736942771045,0.0,0.24083911050372953,0.10146541622662503
LSTCN,augmented,n_blocks,5,0.1539433571596571,2,0.225014319065206,0.0710709619055489
LSTCN,augmented,solver,cholesky,0.16962992769098065,lsqr,0.16963062734079343,6.996498127798123e-07
