country,feature_set,n_features_masked,MORF_MAE_scaled_y,LERF_MAE_scaled_y,MORF_RMSE_scaled_y,LERF_RMSE_scaled_y,MORF_masked_features,LERF_masked_features
Indonesia,augmented,0,0.02561597188331857,0.02561597188331857,0.03628687564961728,0.03628687564961728,,
Indonesia,augmented,1,0.20269454508596008,0.02561597188331857,0.2431509346214911,0.03628687564961728,Electric power consumption,Number of frost days
Indonesia,augmented,2,0.30427726271411837,0.025926544351508984,0.3614374301262067,0.036063717605041734,Electric power consumption; CO2 emissions lag1,Number of frost days; Temperature std across months
Indonesia,augmented,3,0.23278788744851528,0.027101760805185532,0.292340243669354,0.0385222846113855,Electric power consumption; CO2 emissions lag1; Fertilizer consumption,Number of frost days; Temperature std across months; Number of hot days
Indonesia,augmented,4,0.2940203741656867,0.039031821264262946,0.3549890614962893,0.04497237516527017,Electric power consumption; CO2 emissions lag1; Fertilizer consumption; GDP,Number of frost days; Temperature std across months; Number of hot days; Fossil fuel energy consumption
Indonesia,augmented,5,0.3484450393991272,0.03383239699963857,0.4153243125258997,0.04787519252395273,Electric power consumption; CO2 emissions lag1; Fertilizer consumption; GDP; Renewable energy consumption,Number of frost days; Temperature std across months; Number of hot days; Fossil fuel energy consumption; Temperature annual mean
Indonesia,augmented,6,0.4006679745968682,0.05841566849183868,0.4750640438798943,0.06737003533235776,Electric power consumption; CO2 emissions lag1; Fertilizer consumption; GDP; Renewable energy consumption; Population,Number of frost days; Temperature std across months; Number of hot days; Fossil fuel energy consumption; Temperature annual mean; Population
Indonesia,augmented,7,0.37081516512778795,0.09946546857528311,0.4412267847433166,0.12027212830215299,Electric power consumption; CO2 emissions lag1; Fertilizer consumption; GDP; Renewable energy consumption; Population; Temperature annual mean,Number of frost days; Temperature std across months; Number of hot days; Fossil fuel energy consumption; Temperature annual mean; Population; Renewable energy consumption
Indonesia,augmented,8,0.3869453612368007,0.1558274711704138,0.4605769033710775,0.18045445086120637,Electric power consumption; CO2 emissions lag1; Fertilizer consumption; GDP; Renewable energy consumption; Population; Temperature annual mean; Fossil fuel energy consumption,Number of frost days; Temperature std across months; Number of hot days; Fossil fuel energy consumption; Temperature annual mean; Population; Renewable energy consumption; GDP
Indonesia,augmented,9,0.3897360278967201,0.08917180941682623,0.4648950181752894,0.11396869489770468,Electric power consumption; CO2 emissions lag1; Fertilizer consumption; GDP; Renewable energy consumption; Population; Temperature annual mean; Fossil fuel energy consumption; Number of hot days,Number of frost days; Temperature std across months; Number of hot days; Fossil fuel energy consumption; Temperature annual mean; Population; Renewable energy consumption; GDP; Fertilizer consumption
Indonesia,augmented,10,0.39035953614657304,0.18547037615442044,0.4663563128195372,0.22732944564087607,Electric power consumption; CO2 emissions lag1; Fertilizer consumption; GDP; Renewable energy consumption; Population; Temperature annual mean; Fossil fuel energy consumption; Number of hot days; Temperature std across months,Number of frost days; Temperature std across months; Number of hot days; Fossil fuel energy consumption; Temperature annual mean; Population; Renewable energy consumption; GDP; Fertilizer consumption; CO2 emissions lag1
Indonesia,augmented,11,0.39035953614657304,0.39035953614657304,0.4663563128195372,0.4663563128195372,Electric power consumption; CO2 emissions lag1; Fertilizer consumption; GDP; Renewable energy consumption; Population; Temperature annual mean; Fossil fuel energy consumption; Number of hot days; Temperature std across months; Number of frost days,Number of frost days; Temperature std across months; Number of hot days; Fossil fuel energy consumption; Temperature annual mean; Population; Renewable energy consumption; GDP; Fertilizer consumption; CO2 emissions lag1; Electric power consumption
