country,feature_set,best_p,best_d,best_q,best_trend,RMSE_absolute,RMSE_scaled_y,RMSE_relative,MAE_absolute,MAE_scaled_y,MAE_relative,MAPE,Accuracy,R_squared
Canada,baseline,1.0,0.0,1.0,c,27.20902733898178,0.2750994023525504,0.046835238249902364,23.23081262103176,0.23487729232621207,0.03998748761908434,0.04023218846413822,0.9597678115358618,-0.4576102900515142
Canada,augmented,0.0,1.0,0.0,c,32.12884027681461,0.32484162878433165,0.05530377364507373,23.841807125901514,0.2410548091126926,0.04103920008379117,0.041885692983906334,0.9581143070160937,-1.032382705295705
China,baseline,2.0,0.0,1.0,n,434.53997127171635,0.07374134724645674,0.036041792397065446,366.75985229428755,0.06223907445140613,0.03041994598859009,0.029803521131940153,0.9701964788680598,0.536994775341073
China,augmented,2.0,0.0,3.0,c,457.7061857069809,0.07767264925777041,0.037963254049622176,401.267517540179,0.06809501842386656,0.033282094902670444,0.03333754358370296,0.966662456416297,0.4863113232708438
India,baseline,0.0,1.0,2.0,c,45.008843289224146,0.03356306587524909,0.0171921635695632,34.963395526940204,0.026072181854405328,0.013355073601511606,0.013627442608067598,0.9863725573919324,0.9528828237318582
India,augmented,0.0,0.0,1.0,n,35.83551925351696,0.026722523963807445,0.013688201330741528,28.161630239775864,0.02100010979660746,0.010756982807947424,0.010612917864031884,0.9893870821359682,0.9701316690338782
Indonesia,baseline,1.0,0.0,1.0,c,42.57104939732066,0.12545637616924152,0.06645766195118102,31.470876371010654,0.09274429830300826,0.049129182690612054,0.047261107403813125,0.9527388925961868,0.6779357114200628
Indonesia,augmented,1.0,0.0,2.0,n,34.06585913906093,0.10039168165178954,0.05318021009091568,26.445601422362433,0.07793487280758797,0.04128422635345346,0.040234600575920286,0.9597653994240797,0.7937696625087755
Russian Federation,baseline,2.0,0.0,3.0,c,83.2215293131149,0.25046440427031474,0.0447468512416527,70.20235302298387,0.21128175213075595,0.03774665370200549,0.03721627949928802,0.9627837205007119,-0.556019605877353
Russian Federation,augmented,0.0,0.0,3.0,c,106.13558557198384,0.31942679294141113,0.05706736343628846,84.37582890042606,0.25393839664790724,0.04536749919595043,0.04489261705795259,0.9551073829420474,-1.530846008160645
United States,baseline,0.0,1.0,2.0,c,186.80533148698194,0.23001099243624973,0.0388011044352356,151.12799341149093,0.18608194676659157,0.031390608655382526,0.03153669663385724,0.9684633033661427,0.18535597445013596
United States,augmented,0.0,0.0,0.0,c,111.28818119027268,0.13702770043147103,0.023115530517243892,81.83036708647614,0.1007566743152332,0.01699688437167166,0.017284550184800247,0.9827154498151998,0.7108738106866196
BASELINE_AVG,baseline,,,,,136.55929201622328,0.1647225980583437,0.04167913530743339,112.95921387462415,0.13554942430539654,0.033671492042864355,0.03327953929018406,0.966720460709816,0.22325656483571046
AUGMENTED_AVG,augmented,,,,,129.52669518977166,0.1643471628384302,0.04005305551164758,107.65379205252019,0.1271299801839825,0.0314544812859141,0.031374653708385714,0.9686253462916143,0.06630962534062784
OVERALL_AVG,all,,,,,133.04299360299748,0.16453488044838696,0.04086609540954049,110.30650296357216,0.13133970224468952,0.03256298666438922,0.032327096499284884,0.967672903500715,0.14478309508816914
